#id: 243
#name: S.cerevisiae - Whole organism, SC (GPM,Aug,2014)
#score: 22.88
#weight: 90%
#description: abundance based on Spectral counting, from<a href="http://www.thegpm.org/" target="_blank">GPM,Aug,2014</a><br/><b>Interaction consistency score</b>: 22.88&nbsp<b>Coverage</b>: 79
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 79
#publication_year: 2014
#filename: 4932-GPM_201408.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
633090	4932.YLR201C	10.9	294
633742	4932.YMR188C	24.1	634
632799	4932.YLL002W	17.4	767
631194	4932.YGR033C	23.5	401
633911	4932.YNL015W	559	4647
631565	4932.YHR022C	0.151	6
632728	4932.YKR039W	11.9	687
630083	4932.YDR240C	3.38	167
635036	4932.YPL095C	1.72	108
629555	4932.YCR102C	2.39	445
629122	4932.YBR072W	1291	31740
629688	4932.YDL121C	63.7	804
630842	4932.YFR020W	0.485	8
629746	4932.YDL174C	83.2	5458
629965	4932.YDR131C	0.627	35
631967	4932.YIL147C	4.6	610
630753	4932.YFL010C	285	4147
634950	4932.YPL010W	78.2	1662
630230	4932.YDR372C	71.0	3042
631601	4932.YHR051W	573	6742
632246	4932.YJL193W	1.3	58
635296	4932.YPR057W	1.38	46
633321	4932.YLR411W	0.148	24
631017	4932.YGL126W	4.07	168
632563	4932.YKL104C	155	13743
632781	4932.YKR091W	6.83	144
632976	4932.YLR106C	25.7	14506
631057	4932.YGL166W	0.652	11
631811	4932.YIL007C	17.5	346
634742	4932.YOR210W	221	1106
633933	4932.YNL036W	49.9	1230
633256	4932.YLR353W	2.88	124
630256	4932.YDR395W	43.9	4688
631700	4932.YHR136C	1.66	27
630272	4932.YDR410C	0.754	29
629738	4932.YDL166C	63.5	1383
632760	4932.YKR071C	78.0	3078
633110	4932.YLR221C	18.6	477
631835	4932.YIL027C	61.4	924
633005	4932.YLR134W	1293	191651
632157	4932.YJL109C	33.8	7684
630778	4932.YFL029C	9.35	425
634056	4932.YNL149C	99.5	1424
