strain,cell,stiffness
haploid,e1,525.67
haploid,e1,1500
haploid,e1,2040
haploid,e1,2940
haploid,e2,189.52
haploid,e2,179.86
haploid,e2,213.15
haploid,e2,136.43
haploid,e3,209.7
haploid,e3,296.67
haploid,e3,299.84
haploid,e3,215.68
haploid,e4,780.74
haploid,e4,827.28
haploid,e4,819.08
haploid,e4,492.22
haploid,e5,299.93
haploid,e5,251.53
haploid,e5,297.9
haploid,e5,176.07
haploid,e6,151.6
haploid,e6,74.43
haploid,e6,117.03
haploid,e6,47.36
haploid,e7,3390
haploid,e7,3430
haploid,e7,2690
haploid,e7,2980
haploid,e8,368.96
haploid,e8,271.08
haploid,e8,389.61
haploid,e8,318.29
haploid,e9,1590
haploid,e9,1700
haploid,e9,1630
haploid,e9,1660
haploid,e10,82.43
haploid,e10,134.83
haploid,e10,91.8
haploid,e10,105.8
haploid,e11,811.52
haploid,e11,868.69
haploid,e11,769.35
haploid,e11,869.88
haploid,e12,188.2
haploid,e12,190.46
haploid,e12,279.45
haploid,e12,189.67
haploid,e13,215.44
haploid,e13,247.75
haploid,e13,250.33
haploid,e13,246.97
haploid,e14,213.32
haploid,e14,425.6
haploid,e14,116.89
haploid,e14,163.83
haploid,e15,1360
haploid,e15,1230
haploid,e15,1350
haploid,e15,1060
haploid,e16,53.23
haploid,e16,65.32
haploid,e16,55.05
haploid,e16,37.57
haploid,e17,308.01
haploid,e17,196.26
haploid,e17,115.82
haploid,e17,92.54
haploid,e18,173.1
haploid,e18,91.19
haploid,e18,116.83
haploid,e18,118.49
haploid,e19,1180
haploid,e19,1010
haploid,e19,831.42
haploid,e19,859.62
haploid,e20,963.23
haploid,e20,757.69
haploid,e20,689.53
haploid,e20,634.29
haploid,e21,937.55
haploid,e21,687.15
haploid,e21,650.14
haploid,e21,516.1
haploid,e22,42.19
haploid,e22,15.16
haploid,e22,68.46
haploid,e22,34.4
haploid,e23,71.17
haploid,e23,149.76
haploid,e23,106.08
haploid,e23,65.38
haploid,e24,99.58
haploid,e24,106.89
haploid,e24,320.33
haploid,e24,477.07
haploid,e25,1300
haploid,e25,1120
haploid,e25,1220
haploid,e25,1100
haploid,e26,958.35
haploid,e26,1270
haploid,e26,1080
haploid,e26,1060
haploid,e27,83.29
haploid,e27,45.2
haploid,e27,14.7
haploid,e27,45.52
haploid,e28,173.01
haploid,e28,176.76
haploid,e28,79.13
haploid,e28,122.64
haploid,e29,296.27
haploid,e29,244.65
haploid,e29,233.19
haploid,e29,240.4
haploid,e30,1690
haploid,e30,1790
haploid,e30,1780
haploid,e30,1850
aneuploids,a1,314.52
aneuploids,a1,3.15E+02
aneuploids,a1,3.07E+02
aneuploids,a1,3.25E+02
aneuploids,a2,47.86
aneuploids,a2,63.27
aneuploids,a2,43.33
aneuploids,a2,53.92
aneuploids,a3,408.68
aneuploids,a3,385.42
aneuploids,a3,372.97
aneuploids,a3,424.2
aneuploids,a4,2.18E+03
aneuploids,a4,1.93E+03
aneuploids,a4,1.93E+03
aneuploids,a4,1.91
aneuploids,a5,245.82
aneuploids,a5,245.82
aneuploids,a5,219.95
aneuploids,a5,266.21
aneuploids,a6,12.99
aneuploids,a6,19.31
aneuploids,a6,9.76
aneuploids,a6,7.97
aneuploids,a7,7.63E+02
aneuploids,a7,8.64E+02
aneuploids,a7,5.45E+02
aneuploids,a7,5.01E+02
aneuploids,a8,5.60E+02
aneuploids,a8,5.33E+02
aneuploids,a8,5.38E+02
aneuploids,a8,5.31E+02
aneuploids,a9,1.28E+03
aneuploids,a9,1.11E+03
aneuploids,a9,1.11E+03
aneuploids,a9,8.62E+02
aneuploids,a10,1.91E+03
aneuploids,a10,2.22E+03
aneuploids,a10,1.89E+03
aneuploids,a10,2.01E+03
aneuploids,a11,1.25E+02
aneuploids,a11,1.27E+02
aneuploids,a11,1.40E+02
aneuploids,a11,1.43E+02
aneuploids,a12,1.66E+03
aneuploids,a12,1.94E+03
aneuploids,a12,1.98E+03
aneuploids,a12,1.97E+03
aneuploids,a13,2.20E+03
aneuploids,a13,1.95E+03
aneuploids,a13,1.94E+03
aneuploids,a13,1.75E+03
aneuploids,a14,3.39E+03
aneuploids,a14,2.44E+03
aneuploids,a14,2.33E+03
aneuploids,a14,1.90E+03
aneuploids,a15,9.33E+02
aneuploids,a15,9.47E+02
aneuploids,a15,1.00E+03
aneuploids,a15,1.05E+03
aneuploids,a16,1.78E+03
aneuploids,a16,2.06E+03
aneuploids,a16,2.13E+03
aneuploids,a16,2.07E+03
aneuploids,a17,3.32E+02
aneuploids,a17,2.16E+02
aneuploids,a17,2.03E+02
aneuploids,a17,1.89E+02
aneuploids,a18,2.28E+03
aneuploids,a18,1.62E+03
aneuploids,a18,1.61E+03
aneuploids,a18,1.79E+03
aneuploids,a19,2.28E+02
aneuploids,a19,1.53E+02
aneuploids,a19,1.32E+02
aneuploids,a19,1.76E+02
aneuploids,a20,8.50E+02
aneuploids,a20,5.85E+02
aneuploids,a20,3.10E+02
aneuploids,a20,2.87E+02
aneuploids,a21,2.02E+03
aneuploids,a21,2.05E+03
aneuploids,a21,2.00E+03
aneuploids,a21,2.52E+03
aneuploids,a22,8.59E+02
aneuploids,a22,8.33E+02
aneuploids,a22,9.31E+02
aneuploids,a22,9.89E+02
aneuploids,a23,3.70E+02
aneuploids,a23,3.41E+02
aneuploids,a23,3.06E+02
aneuploids,a23,2.53E+02
aneuploids,a24,1.50E+03
aneuploids,a24,1.22E+03
aneuploids,a24,8.03E+02
aneuploids,a24,8.18E+02
aneuploids,a25,1.71E+03
aneuploids,a25,1.76E+03
aneuploids,a25,1.60E+03
aneuploids,a25,4.42E+03
aneuploids,a26,2.60E+02
aneuploids,a26,2.69E+02
aneuploids,a26,9.22E+01
aneuploids,a26,8.52E+01
aneuploids,a27,7.03E+00
aneuploids,a27,4.99E+00
aneuploids,a27,4.98E+00
aneuploids,a27,4.77E+00
aneuploids,a28,4.63E+01
aneuploids,a28,6.39E+01
aneuploids,a28,2.81E+02
aneuploids,a28,5.69E+02
aneuploids,a29,1.85E+03
aneuploids,a29,1.62E+03
aneuploids,a29,1.68E+03
aneuploids,a29,1.68E+03
aneuploids,a30,1.17E+03
aneuploids,a30,1.28E+03
aneuploids,a30,8.08E+02
aneuploids,a30,7.03E+02
