cell,displacement,force
2,0,0.0323651
2,1.6711,0.02787
2,2.6656,0.0303673
2,3.0907,0.0393576
2,3.7054,0.0478485
2,5.9261,0.0363608
2,6.5384,0.0428538
2,7.6886,0.0418549
2,8.3704,0.0493468
2,10.0541,0.0423544
2,10.671,0.0463501
2,11.3246,0.0533425
2,13.3225,0.047349
2,14.1165,0.0553404
2,14.979,0.0588366
2,16.092,0.0573382
2,16.5654,0.0623329
2,16.874,0.0688259
2,17.607,0.07432
2,18.6833,0.0803135
2,19.7318,0.0838097
2,21.0553,0.0773167
2,21.2831,0.0853081
2,21.6703,0.0977947
2,23.0251,0.10229
2,23.82838,0.11178
2,24.62368,0.114776
2,25.2176,0.117274
2,25.31505,0.12976
2,25.58659,0.142746
2,26.62589,0.144245
2,27.69065,0.145743
2,28.13999,0.158729
2,29.31855,0.162225
2,30.48961,0.161726
2,31.346468,0.163724
2,31.777025,0.172215
2,32.649627,0.175211
2,32.838938,0.187698
2,33.11448,0.201183
2,34.33559,0.203181
2,34.98204,0.209674
2,35.23334,0.218664
2,36.0975,0.22316
2,36.9537,0.231651
2,38.89246,0.22266
2,39.61653,0.224658
2,41.1504,0.216667
2,42.2887,0.216167
2,43.519,0.217666
2,44.9764,0.218165
2,46.1166,0.220163
2,48.3076,0.206178
2,50.0258,0.200184
2,50.5857,0.210174
2,50.8955,0.220163
2,51.5355,0.224658
2,52.8238,0.224658
2,53.7636,0.230652
2,54.7349,0.233648
2,55.2536,0.242639
2,56.0506,0.249132
2,57.4222,0.245635
2,58.1103,0.25063
2,58.2845,0.266613
2,59.6351,0.26911
2,60.4722,0.274604
2,60.3137,0.289588
2,60.9576,0.295082
2,61.3577,0.30607
2,61.6225,0.318557
2,62.4328,0.321554
2,62.5418,0.333041
2,63.5878,0.335039
2,64.3876,0.34353
2,65.7027,0.346527
2,65.0582,0.371
2,66.676,0.36201
2,67.0633,0.370501
2,68.4333,0.369003
2,68.6339,0.381989
2,69.0065,0.393976
2,69.3308,0.409459
2,69.5597,0.424443
2,70.3199,0.427939
2,70.229,0.440925
2,70.0448,0.457407
2,70.4519,0.469894
2,70.7969,0.484378
2,71.5703,0.489872
2,72.1579,0.494867
2,72.5295,0.505356
2,73.777,0.507354
2,74.5996,0.512848
2,75.7351,0.512848
2,77.1105,0.511349
2,78.8797,0.504357
2,81.7073,0.480882
2,83.7157,0.468895
2,84.3694,0.478385
2,85.6079,0.479384
2,85.5351,0.492869
2,85.5893,0.505855
2,86.1431,0.516843
2,86.5076,0.52883
2,86.7471,0.537821
2,86.8801,0.549808
2,87.5354,0.560297
2,87.7354,0.576779
2,87.7554,0.592762
2,87.7729,0.609743
2,88.2774,0.62223
2,88.8174,0.63172
2,88.989,0.643707
2,89.3509,0.655194
2,89.533,0.669679
2,89.2531,0.68716
2,89.1898,0.701145
2,89.3118,0.716129
2,89.8406,0.727117
2,89.5307,0.747095
2,89.6819,0.76158
2,89.5737,0.78006
2,89.3825,0.797042
2,89.4455,0.809029
2,89.2432,0.827009
2,89.5877,0.841993
2,89.8363,0.858475
2,89.7888,0.875457
2,89.4504,0.894437
2,89.9795,0.903926
2,90.1843,0.91891
2,90.1702,0.934893
2,90.2945,0.94738
2,90.0153,0.96586
2,89.8781,0.98384
2,90.2976,0.995328
2,91.1073,1.00182
2,91.7639,1.00781
3,0,0.073371
3,0.94135,0.0758683
