cell ID,displacement,force
1,0,0.0876056
1,0.64457,0.0970954
1,1.84862,0.103089
1,3.13555,0.11108
1,4.14624,0.12057
1,5.13634,0.127563
1,4.99434,0.149539
1,6.70604,0.149539
1,7.24894,0.165522
1,8.16234,0.175012
1,8.62744,0.188497
1,9.73914,0.19499
1,10.42224,0.207976
1,10.93154,0.221461
1,11.55524,0.232949
1,12.19704,0.245436
1,12.66384,0.25992
1,13.07964,0.274904
1,13.41164,0.293384
1,14.37114,0.304372
1,14.56294,0.320854
1,14.75264,0.33384
1,14.26184,0.358314
1,15.14474,0.370301
1,16.27984,0.38029
1,16.36374,0.400269
1,16.53184,0.417251
1,16.84844,0.435231
1,17.35584,0.451713
1,17.79384,0.467197
1,18.04764,0.485677
1,18.68004,0.499662
1,19.10684,0.514146
1,18.98984,0.533625
1,19.17734,0.548609
1,19.40224,0.565591
1,19.33994,0.590064
1,19.74014,0.608045
1,20.02074,0.624028
1,20.32924,0.639012
1,20.72484,0.654995
1,20.70604,0.67747
1,21.12934,0.693453
1,21.38104,0.710934
1,21.44614,0.731412
1,21.71584,0.749892
1,22.08124,0.767374
1,22.38304,0.784355
1,22.24464,0.803834
1,22.15864,0.822814
1,22.36504,0.841793
1,22.86884,0.857776
1,22.63464,0.88175
1,23.00284,0.898233
1,23.33364,0.916213
1,23.12374,0.941186
1,23.47314,0.959167
1,23.94194,0.97515
1,23.93424,0.991133
2,0,0.0437029
2,2.074,0.0392078
2,4.116,0.0337137
2,6.399,0.0227255
2,7.73,0.0242239
2,8.501,0.0342132
2,10.011,0.0347126
2,10.851,0.0447018
2,13.073,0.0397072
2,14.719,0.042704
2,17.121,0.0317158
2,18.491,0.0317158
2,19.489,0.0402067
2,22.087,0.0302175
2,22.991,0.0392078
2,25.341,0.0277201
2,26.09,0.0387083
2,28.045,0.036211
2,30.631,0.0252228
2,32.085,0.0272207
2,33.32,0.0317158
2,34.344,0.0397072
2,36.525,0.0322153
2,37.848,0.0342132
2,38.844,0.0417051
2,40.905,0.0382089
2,42.463,0.0402067
2,42.768,0.05569
2,44.654,0.0511949
2,46.2819,0.0521938
2,47.3544,0.0611841
2,49.4509,0.0551906
2,50.7643,0.0576879
2,51.8403,0.0651798
2,53.7868,0.0616836
2,54.9504,0.0646803
2,56.6959,0.0611841
2,59.0388,0.0551906
2,60.818,0.0566889
2,62.386,0.0566889
2,62.9584,0.0676771
2,65.4376,0.0551906
2,67.3541,0.0511949
2,68.5131,0.0576879
2,69.775,0.063182
2,71.5379,0.0611841
2,72.5584,0.0661787
2,73.8303,0.0666782
2,74.8342,0.0726717
2,76.298,0.0756685
2,78.8581,0.0656793
2,80.284,0.069675
2,82.2455,0.0656793
2,83.7342,0.0666782
2,83.8966,0.0846588
2,86.6264,0.0721723
2,88.0965,0.0776664
2,89.5326,0.0801637
2,90.1245,0.0896534
2,91.6395,0.0881551
2,92.777,0.0951475
2,94.1842,0.101641
2,96.645,0.095647
2,97.6599,0.106635
2,99.0177,0.109632
2,100.9857,0.102639
2,102.2905,0.104637
2,102.9654,0.115126
2,103.8668,0.122118
2,105.5456,0.120121
2,106.0495,0.136103
2,107.9523,0.135104
2,108.7817,0.146093
2,109.9502,0.150088
2,111.1198,0.153085
2,112.2958,0.15808
2,113.7005,0.163574
2,115.2663,0.168069
2,116.7727,0.171565
2,117.5717,0.182553
2,118.6852,0.188547
2,119.555,0.19504
2,120.4715,0.199036
2,121.754,0.201033
2,122.9165,0.208026
2,124.2691,0.212521
2,124.953,0.225507
2,125.6828,0.239492
2,127.3511,0.240491
2,128.0135,0.251979
2,129.0481,0.259471
2,130.2391,0.267462
2,131.2319,0.277951
2,132.2851,0.285443
2,132.7562,0.298928
2,133.0447,0.313912
2,133.4199,0.326898
2,134.0163,0.338885
2,134.971,0.350872
2,136.20725,0.360362
2,136.8324,0.374347
2,137.5542,0.384336
2,138.47205,0.391329
2,138.79946,0.407311
2,139.21992,0.424293
2,139.51672,0.443772
2,140.54919,0.453262
2,141.14789,0.467746
2,142.63585,0.470244
2,148.33161,0.416801
2,152.6272,0.379341
2,153.83086,0.382338
2,155.51268,0.381339
2,157.9761,0.370351
2,158.9421,0.377843
2,159.4693,0.392827
2,160.919,0.398321
2,161.5683,0.411807
2,161.945,0.424293
2,162.9679,0.428788
2,163.8635,0.438278
2,165.2118,0.443273
2,165.6242,0.459755
2,165.9976,0.475238
2,167.1043,0.481731
2,168.4219,0.488224
2,170.2329,0.487225
2,170.0105,0.508702
2,172.2959,0.499212
2,174.8685,0.490722
2,176.0751,0.500211
2,177.1886,0.506704
2,178.0438,0.513197
2,178.1761,0.52918
2,179.1287,0.537671
2,179.9956,0.550157
2,181.08,0.559148
2,183.2243,0.552655
2,185.546,0.543664
2,188.6602,0.524185
2,190.7854,0.518192
2,194.0753,0.498213
2,197.7224,0.471242
2,199.2534,0.469245
2,200.7106,0.471242
2,202.3676,0.474239
2,203.2028,0.485727
2,203.7363,0.498713
2,204.805,0.506205
2,205.9594,0.512698
2,207.1531,0.518192
2,208.0106,0.52968
2,209.4954,0.532177
2,210.1565,0.543165
2,211.5639,0.546162
2,211.803,0.565141
2,212.9693,0.571634
2,214.3411,0.577628
2,216.46,0.573632
2,217.0665,0.58512
2,217.6766,0.596607
2,218.31,0.610592
2,220.069,0.610093
2,221.1073,0.617585
2,221.9981,0.625576
2,222.2033,0.64106
2,222.4013,0.658541
2,223.7171,0.665533
2,225.0446,0.672526
2,225.216,0.691505
2,225.9174,0.700995
2,225.8704,0.717977
2,226.0464,0.73396
2,227.3663,0.740452
2,232.1967,0.702993
2,235.0595,0.689008
2,236.3022,0.695001
2,237.5631,0.700496
2,238.1947,0.714481
2,238.8176,0.727966
2,238.8357,0.747445
2,238.9064,0.767423
2,239.565,0.782407
2,240.475,0.792896
2,241.1661,0.804384
2,240.9851,0.828358
2,241.7827,0.838846
2,241.3384,0.862821
2,241.8867,0.876806
2,243.304,0.883299
2,243.3161,0.905275
2,243.2374,0.924255
2,243.1714,0.943234
2,243.7447,0.957219
2,244.3588,0.9747
2,245.2073,0.990683
2,245.7599,1.00367
3,0,0.0293684
3,1.42148,0.0323652
3,2.10874,0.0448517
3,3.40201,0.0503458
3,4.43829,0.0588366
3,6.077085,0.0568388
3,8.11026,0.0488474
3,7.543494,0.0763178
3,8.7409,0.0813124
3,9.55799,0.0898033
3,10.66027,0.0952974
3,11.49347,0.105287
3,13.27478,0.10229
3,14.29057,0.108283
3,14.91351,0.119272
3,15.89275,0.126264
3,17.42459,0.127263
3,18.44689,0.135254
3,18.67919,0.151737
3,20.12919,0.150238
3,20.02309,0.169717
3,21.02919,0.178708
3,22.30999,0.1857
3,23.18739,0.19519
3,24.06079,0.201183
3,24.08669,0.217666
3,25.34739,0.222161
3,26.38739,0.232649
3,27.14399,0.244137
3,27.40969,0.259121
3,28.07979,0.271108
3,29.07639,0.280098
3,29.28549,0.296581
3,28.89949,0.320055
3,29.83789,0.329046
3,30.64809,0.340533
3,30.77049,0.358514
3,31.02119,0.373997
