,ploidy,avg size,normalized,,,,
A1.fcs,1.027027027,10.29853659,1.215883894,,,,8.47
A2.fcs,1.135135135,10.85764706,1.281894576,,,,
A3.fcs,1.108108108,10.07,1.188902007,,,,
A4.fcs,1.324324324,10.65,1.257378985,,,,
A5.fcs,1.351351351,12.57,1.484061393,,,,
A6.fcs,1.756756757,13.47,1.590318772,,,,
A7.fcs,1.135135135,9.87,1.165289256,,,,
A8.fcs,1.189189189,10.55,1.245572609,,,,
A9.fcs,1.054054054,9.11,1.075560803,,,,
A10.fcs,1.162162162,11.09,1.309327037,,,,
A11.fcs,1.837837838,11.95,1.410861865,,,,
A12.fcs,1.108108108,10.51,1.240850059,,,,
B1.fcs,1.243243243,11.6,1.369539551,,,,
B2.fcs,1.243243243,10.17,1.200708383,,,,
B3.fcs,1.081081081,9.68,1.142857143,,,,
B4.fcs,1.054054054,10.47,1.236127509,,,,
B5.fcs,1.189189189,11.02,1.301062574,,,,
B6.fcs,1.027027027,10.81,1.276269185,,,,
B7.fcs,1.054054054,10.68,1.260920897,,,,
B8.fcs,1.297297297,11.19,1.321133412,,,,
B9.fcs,1.297297297,10.08,1.190082645,,,,
B10.fcs,1.054054054,12.22,1.442739079,,,,
B11.fcs,1.27027027,12.11,1.429752066,,,,
B12.fcs,1.567567568,14.21,1.67768595,,,,
C1.fcs,1.216216216,9.72,1.147579693,,,,
C2.fcs,1.108108108,9.59,1.132231405,,,,
C3.fcs,1.27027027,13.33,1.573789847,,,,
C4.fcs,1.351351351,13.19,1.557260921,,,,
C5.fcs,1.297297297,10.12,1.194805195,,,,
C6.fcs,1.891891892,13.43,1.585596222,,,,
N1,1,8.47,1,,,,
N2,2,10.89,1.285408806,,,,
